ENDEREÇO;CONJUNTO;QUADRA;LOTE;AREA_M2;PISCINA_ST;TERRENO_ST;AGENTE;type;age
CZ14;C;Z;14;1248.62;NÃO;NÃO;TATI;house;60
CZ13;C;Z;13;608.96;NÃO;NÃO;TATI;house;60
CZ12;C;Z;12;750.15;NÃO;NÃO;TATI;house;60
CZ11;C;Z;11;849.85;NÃO;NÃO;TATI;house;60
CZ10;C;Z;10;1644.71;SIM;NÃO;TATI;house;60
CZ09;C;Z;9;1409.8;NÃO;NÃO;TATI;house;60
CZ08;C;Z;8;581.36;NÃO;NÃO;TATI;house;60
CZ07;C;Z;7;528.43;NÃO;NÃO;TATI;house;60
CZ06;C;Z;6;568.43;NÃO;NÃO;TATI;house;60
CZ05;C;Z;5;548.22;NÃO;NÃO;TATI;house;60
CZ04;C;Z;4;554.62;NÃO;NÃO;TATI;house;60
CZ03;C;Z;3;582.05;NÃO;NÃO;TATI;house;60
CZ02;C;Z;2;582.22;NÃO;NÃO;TATI;house;60
CZ01;C;Z;1;898.23;SIM;NÃO;TATI;house;60
CY33B;C;Y;33B;247.88;NÃO;NÃO;TATI;house;60
CY33A;C;Y;33A;419.47;NÃO;NÃO;TATI;house;60
CY32;C;Y;32;531.77;NÃO;NÃO;TATI;house;60
CY31;C;Y;31;552.43;SIM;NÃO;TATI;house;60
CY30;C;Y;30;590.34;NÃO;NÃO;TATI;house;60
CY29;C;Y;29;578.16;NÃO;NÃO;TATI;house;60
CY28;C;Y;28;570.64;NÃO;SIM;TATI;house;60
CY27;C;Y;27;568.36;NÃO;NÃO;TATI;house;60
CY26;C;Y;26;563.32;NÃO;NÃO;TATI;house;60
CY25;C;Y;25;589.36;NÃO;NÃO;TATI;house;60
CY24;C;Y;24;561.31;NÃO;NÃO;TATI;house;60
CY23;C;Y;23;567.72;NÃO;NÃO;TATI;house;60
CY22;C;Y;22;588.84;NÃO;NÃO;TATI;house;60
CY21;C;Y;21;567.27;NÃO;NÃO;TATI;house;60
CY20;C;Y;20;572.31;NÃO;NÃO;TATI;house;60
CY19;C;Y;19;732.64;SIM;NÃO;TATI;house;60
CY18B;C;Y;18B;462.57;NÃO;NÃO;TATI;house;60
CY18A;C;Y;18A;917.18;NÃO;NÃO;TATI;house;60
CY17;C;Y;17;583.96;SIM;NÃO;TATI;house;60
CY16;C;Y;16;582.19;NÃO;NÃO;TATI;house;60
CY15;C;Y;15;603.19;NÃO;NÃO;TATI;house;60
CY13/14;C;Y;13/14;1147.31;NÃO;NÃO;TATI;house;60
CY12;C;Y;12;574.29;SIM;NÃO;TATI;house;60
CY11;C;Y;11;578.8;NÃO;NÃO;TATI;house;60
CY10;C;Y;10;572.85;NÃO;NÃO;TATI;house;60
CY09;C;Y;9;590.62;NÃO;NÃO;TATI;house;60
CY08;C;Y;8;552.97;SIM;NÃO;TATI;house;60
CY07;C;Y;7;598.76;SIM;NÃO;TATI;house;60
CY06;C;Y;6;557.85;NÃO;NÃO;TATI;house;60
CY05;C;Y;5;581.85;SIM;NÃO;TATI;house;60
CY04;C;Y;4;576.73;NÃO;NÃO;TATI;house;60
CY03;C;Y;3;576.66;NÃO;NÃO;TATI;house;60
CY02;C;Y;2;551.23;NÃO;NÃO;TATI;house;60
CY01;C;Y;1;655.35;NÃO;NÃO;TATI;house;60
CX53;C;X;53;1035.11;NÃO;NÃO;TATI;house;60
CX52;C;X;52;573.42;SIM;NÃO;TATI;house;60
CX51;C;X;51;559.81;NÃO;NÃO;TATI;house;60
CX50;C;X;50;597.75;NÃO;NÃO;TATI;house;60
CX49;C;X;49;556.34;NÃO;NÃO;TATI;house;60
CX48;C;X;48;578.68;SIM;NÃO;TATI;house;60
CX47;C;X;47;572.22;SIM;NÃO;TATI;house;60
CX46;C;X;46;568.67;NÃO;NÃO;TATI;house;60
CX45;C;X;45;595.41;NÃO;NÃO;TATI;house;60
CX44;C;X;44;588.69;NÃO;NÃO;TATI;house;60
CX43;C;X;43;561.19;NÃO;NÃO;TATI;house;60
CX42;C;X;42;574.02;SIM;NÃO;TATI;house;60
CX41;C;X;41;583.1;NÃO;NÃO;TATI;house;60
CX40;C;X;40;575.01;NÃO;NÃO;TATI;house;60
CX39;C;X;39;575.24;NÃO;NÃO;TATI;house;60
CX38;C;X;38;576.45;NÃO;NÃO;TATI;house;60
CX37;C;X;37;579.44;SIM;NÃO;TATI;house;60
CX36;C;X;36;578.69;NÃO;NÃO;TATI;house;60
CX35;C;X;35;551.9;SIM;NÃO;TATI;house;60
CX34;C;X;34;575.45;NÃO;NÃO;TATI;house;60
CX33;C;X;33;587.65;SIM;NÃO;TATI;house;60
CX32;C;X;32;553.05;SIM;NÃO;TATI;house;60
CX31;C;X;31;590.99;SIM;NÃO;TATI;house;60
CX30;C;X;30;579.08;SIM;NÃO;TATI;house;60
CX29;C;X;29;694.78;SIM;NÃO;TATI;house;60
CX28;C;X;28;1221.68;SIM;NÃO;TATI;house;60
CX27;C;X;27;583.85;NÃO;NÃO;TATI;house;60
CX26;C;X;26;581.54;NÃO;NÃO;TATI;house;60
CX25;C;X;25;550.58;NÃO;NÃO;TATI;house;60
CX24;C;X;24;558.72;NÃO;NÃO;TATI;house;60
CX23;C;X;23;554.8;NÃO;SIM;TATI;house;60
CX22;C;X;22;568.11;SIM;NÃO;TATI;house;60
CX21;C;X;21;549.24;NÃO;NÃO;TATI;house;60
CX20;C;X;20;567.04;NÃO;NÃO;TATI;house;60
CX19;C;X;19;552.67;NÃO;NÃO;TATI;house;60
CX18;C;X;18;563.62;SIM;NÃO;TATI;house;60
CX17;C;X;17;554.53;NÃO;NÃO;TATI;house;60
CX16;C;X;16;573.3;NÃO;NÃO;TATI;house;60
CX15;C;X;15;551.25;NÃO;NÃO;TATI;house;60
CX14;C;X;14;557.9;SIM;NÃO;TATI;house;60
CX13;C;X;13;571.04;NÃO;NÃO;TATI;house;60
CX12;C;X;12;564.01;NÃO;NÃO;TATI;house;60
CX11;C;X;11;558.41;NÃO;NÃO;TATI;house;60
CX10;C;X;10;573.68;SIM;NÃO;TATI;house;60
CX09;C;X;9;551.4;NÃO;NÃO;TATI;house;60
CX08;C;X;8;553.89;NÃO;NÃO;TATI;house;60
CX07;C;X;7;578.96;NÃO;NÃO;TATI;house;60
CX06;C;X;6;575.27;NÃO;NÃO;TATI;house;60
CX05;C;X;5;578.1;SIM;NÃO;TATI;house;60
CX04;C;X;4;574.44;NÃO;NÃO;TATI;house;60
CX03;C;X;3;581.58;NÃO;NÃO;TATI;house;60
CX02;C;X;2;561.11;NÃO;NÃO;TATI;house;60
CX01;C;X;1;614.26;NÃO;NÃO;TATI;house;60
CV25;C;V;25;959.98;NÃO;NÃO;TATI;house;60
CV24;C;V;24;568.57;NÃO;NÃO;TATI;house;60
CV23;C;V;23;587.91;SIM;NÃO;TATI;house;60
CV22;C;V;22;557.47;NÃO;NÃO;TATI;house;60
CV21;C;V;21;605.5;SIM;NÃO;TATI;house;60
CV20;C;V;20;572;NÃO;NÃO;TATI;house;60
CV19;C;V;19;578.77;SIM;NÃO;TATI;house;60
CV18;C;V;18;583.86;NÃO;NÃO;TATI;house;60
CV17;C;V;17;570.23;NÃO;NÃO;TATI;house;60
CV16;C;V;16;566.07;SIM;NÃO;TATI;house;60
CV15;C;V;15;693.85;NÃO;NÃO;TATI;house;60
CV14;C;V;14;999.89;NÃO;NÃO;TATI;house;60
CV13;C;V;13;580.38;NÃO;NÃO;TATI;house;60
CV12;C;V;12;556.64;NÃO;NÃO;TATI;house;60
CV11;C;V;11;588.93;NÃO;NÃO;TATI;house;60
CV10;C;V;10;581.18;NÃO;NÃO;TATI;house;60
CV09;C;V;9;566.21;NÃO;NÃO;TATI;house;60
CV08;C;V;8;578.72;SIM;NÃO;TATI;house;60
